INDICATOR,YEAR,WHOREGION,COUNTRY,EXPENDITURES
Per capita government expenditure on health (PPP int. $),2003,Eastern Mediterranean,Afghanistan,1.1
Per capita government expenditure on health (PPP int. $),2006,Eastern Mediterranean,Afghanistan,2.7
Per capita government expenditure on health (PPP int. $),2012,Eastern Mediterranean,Afghanistan,9.9
Per capita government expenditure on health (PPP int. $),2010,Eastern Mediterranean,Afghanistan,10.7
Per capita government expenditure on health (PPP int. $),2004,Eastern Mediterranean,Afghanistan,1.7
Per capita government expenditure on health (PPP int. $),2008,Eastern Mediterranean,Afghanistan,5.7
Per capita government expenditure on health (PPP int. $),2002,Eastern Mediterranean,Afghanistan,0.8
Per capita government expenditure on health (PPP int. $),2005,Eastern Mediterranean,Afghanistan,1.8
Per capita government expenditure on health (PPP int. $),2009,Eastern Mediterranean,Afghanistan,7.7
Per capita government expenditure on health (PPP int. $),2011,Eastern Mediterranean,Afghanistan,8.3
Per capita government expenditure on health (PPP int. $),2007,Eastern Mediterranean,Afghanistan,3.1
Per capita government expenditure on health at average exchange rate (US$),2003,Eastern Mediterranean,Afghanistan,1.2
Per capita government expenditure on health at average exchange rate (US$),2005,Eastern Mediterranean,Afghanistan,1.9
Per capita government expenditure on health at average exchange rate (US$),2006,Eastern Mediterranean,Afghanistan,2.8
Per capita government expenditure on health at average exchange rate (US$),2007,Eastern Mediterranean,Afghanistan,3.3
Per capita government expenditure on health at average exchange rate (US$),2010,Eastern Mediterranean,Afghanistan,9
Per capita government expenditure on health at average exchange rate (US$),2011,Eastern Mediterranean,Afghanistan,9.1
Per capita government expenditure on health at average exchange rate (US$),2012,Eastern Mediterranean,Afghanistan,10.7
Per capita government expenditure on health at average exchange rate (US$),2004,Eastern Mediterranean,Afghanistan,2
Per capita government expenditure on health at average exchange rate (US$),2008,Eastern Mediterranean,Afghanistan,6.6
Per capita government expenditure on health at average exchange rate (US$),2009,Eastern Mediterranean,Afghanistan,7.4
Per capita government expenditure on health at average exchange rate (US$),2002,Eastern Mediterranean,Afghanistan,1
Per capita total expenditure on health (PPP int. $),2003,Eastern Mediterranean,Afghanistan,16.9
Per capita total expenditure on health (PPP int. $),2007,Eastern Mediterranean,Afghanistan,28.8
Per capita total expenditure on health (PPP int. $),2002,Eastern Mediterranean,Afghanistan,12.4
Per capita total expenditure on health (PPP int. $),2004,Eastern Mediterranean,Afghanistan,16.4
Per capita total expenditure on health (PPP int. $),2006,Eastern Mediterranean,Afghanistan,21.4
Per capita total expenditure on health (PPP int. $),2005,Eastern Mediterranean,Afghanistan,20
Per capita total expenditure on health (PPP int. $),2011,Eastern Mediterranean,Afghanistan,43.5
Per capita total expenditure on health (PPP int. $),2012,Eastern Mediterranean,Afghanistan,47.3
Per capita total expenditure on health (PPP int. $),2010,Eastern Mediterranean,Afghanistan,51.1
Per capita total expenditure on health (PPP int. $),2009,Eastern Mediterranean,Afghanistan,36.7
Per capita total expenditure on health (PPP int. $),2008,Eastern Mediterranean,Afghanistan,29.9
Per capita total expenditure on health at average exchange rate (US$),2005,Eastern Mediterranean,Afghanistan,21
Per capita total expenditure on health at average exchange rate (US$),2006,Eastern Mediterranean,Afghanistan,22.7
Per capita total expenditure on health at average exchange rate (US$),2003,Eastern Mediterranean,Afghanistan,17.9
